M1_n,M2_n,M3_n,M4_n,M5_n,M6_n,M7_n,M8_n,M1M1_n,M1M2_n,M1M3_n,M1M4_n,M1M5_n,M1M6_n,M1M7_n,M1M8_n,M2M1_n,M2M2_n,M2M3_n,M2M4_n,M2M5_n,M2M6_n,M2M7_n,M2M8_n,M3M1_n,M3M2_n,M3M3_n,M3M4_n,M3M5_n,M3M6_n,M3M7_n,M3M8_n,M4M1_n,M4M2_n,M4M3_n,M4M4_n,M4M5_n,M4M6_n,M4M7_n,M4M8_n,M5M1_n,M5M2_n,M5M3_n,M5M4_n,M5M5_n,M5M6_n,M5M7_n,M5M8_n,M6M1_n,M6M2_n,M6M3_n,M6M4_n,M6M5_n,M6M6_n,M6M7_n,M6M8_n,M7M1_n,M7M2_n,M7M3_n,M7M4_n,M7M5_n,M7M6_n,M7M7_n,M7M8_n,M8M1_n,M8M2_n,M8M3_n,M8M4_n,M8M5_n,M8M6_n,M8M7_n,M8M8_n
0.3671343402933479,-0.4809438759040832,-0.4480265656301236,-0.08705542194636216,0.32771883030788374,-0.3804965323529235,-0.0745933610487521,-0.03966769097835449,0.1347876238226318,-0.1765710125981714,-0.2676857222253132,-0.03196103490523672,0.14274056649108682,-0.16572831815896996,-0.036248444298675575,-0.017277581139674546,-0.1765710125981714,0.23130701176964216,0.2747286124004046,0.041868772049348794,-0.1872101317197004,0.21735951478210339,0.04533628541326083,0.022660259241427755,-0.2676857222253132,0.2747286124004046,0.20072780351032343,0.1352525651899581,-0.45533043770146253,0.4506695979603567,0.06327178147145404,0.05860894091993883,-0.03196103490523672,0.041868772049348794,0.1352525651899581,0.007578646490259156,-0.053654972743817676,0.062295874342445816,0.01522608611491599,0.0064944967497114585,0.14274056649108682,-0.1872101317197004,-0.45533043770146253,-0.053654972743817676,0.10739963173836747,-0.12469587851890597,-0.04620932976821145,-0.012999849288440926,-0.16572831815896996,0.21735951478210339,0.4506695979603567,0.062295874342445816,-0.12469587851890597,0.1447776111325994,0.03963223381556424,0.015093418863711234,-0.036248444298675575,0.04533628541326083,0.06327178147145404,0.01522608611491599,-0.04620932976821145,0.03963223381556424,0.005564169512549489,0.011696412024999436,-0.017277581139674546,0.022660259241427755,0.05860894091993883,0.0064944967497114585,-0.012999849288440926,0.015093418863711234,0.011696412024999436,0.0015735257075542265
0.3671343402933479,-0.4809438759040832,-0.4480265656301236,-0.08705542194636216,0.32771883030788374,-0.3804965323529235,-0.0745933610487521,-0.03966769097835449,0.1347876238226318,-0.1765710125981714,-0.2676857222253132,-0.03196103490523672,0.14274056649108682,-0.16572831815896996,-0.036248444298675575,-0.017277581139674546,-0.1765710125981714,0.23130701176964216,0.2747286124004046,0.041868772049348794,-0.1872101317197004,0.21735951478210339,0.04533628541326083,0.022660259241427755,-0.2676857222253132,0.2747286124004046,0.20072780351032343,0.1352525651899581,-0.45533043770146253,0.4506695979603567,0.06327178147145404,0.05860894091993883,-0.03196103490523672,0.041868772049348794,0.1352525651899581,0.007578646490259156,-0.053654972743817676,0.062295874342445816,0.01522608611491599,0.0064944967497114585,0.14274056649108682,-0.1872101317197004,-0.45533043770146253,-0.053654972743817676,0.10739963173836747,-0.12469587851890597,-0.04620932976821145,-0.012999849288440926,-0.16572831815896996,0.21735951478210339,0.4506695979603567,0.062295874342445816,-0.12469587851890597,0.1447776111325994,0.03963223381556424,0.015093418863711234,-0.036248444298675575,0.04533628541326083,0.06327178147145404,0.01522608611491599,-0.04620932976821145,0.03963223381556424,0.005564169512549489,0.011696412024999436,-0.017277581139674546,0.022660259241427755,0.05860894091993883,0.0064944967497114585,-0.012999849288440926,0.015093418863711234,0.011696412024999436,0.0015735257075542265
0.6319637864778799,-0.6694809726631217,-0.05239551735262393,-0.14286205308851482,0.74056211873767,-0.8197777886469155,-0.16804604689314873,-0.34513747943102385,0.39937822741945944,-0.4230877304590803,-0.053886845151241654,-0.09028364401382172,0.5552322671658865,-0.614623768413272,-0.1405674222619584,-0.2587648764901093,-0.4230877304590803,0.4482047727579594,0.044723738430564375,0.09564342625834943,-0.5888887874789018,0.6518804239964445,0.1421732520714616,0.27445042979258394,-0.053886845151241654,0.044723738430564375,0.0027452902386491157,0.025957145991798065,-0.12033089493503527,0.1135518129481093,0.01666972954659928,0.059636128545123256,-0.09028364401382172,0.09564342625834943,0.025957145991798065,0.020409566212665632,-0.19897162095868157,0.22025500806203097,0.05629080617202304,0.0927303220059928,0.5552322671658865,-0.5888887874789018,-0.12033089493503527,-0.19897162095868157,0.5484322517092269,-0.6070963760544418,-0.23524364014099214,-0.255595743023218,-0.614623768413272,0.6518804239964445,0.1135518129481093,0.22025500806203097,-0.6070963760544418,0.6720356227588271,0.19236325618862818,0.28293603966713504,-0.1405674222619584,0.1421732520714616,0.01666972954659928,0.05629080617202304,-0.23524364014099214,0.19236325618862818,0.02823947387641435,0.229264063085764,-0.2587648764901093,0.27445042979258394,0.059636128545123256,0.0927303220059928,-0.255595743023218,0.28293603966713504,0.229264063085764,0.1191198797080004
0.6319637864778799,-0.6694809726631217,-0.05239551735262393,-0.14286205308851482,0.74056211873767,-0.8197777886469155,-0.16804604689314873,-0.34513747943102385,0.39937822741945944,-0.4230877304590803,-0.053886845151241654,-0.09028364401382172,0.5552322671658865,-0.614623768413272,-0.1405674222619584,-0.2587648764901093,-0.4230877304590803,0.4482047727579594,0.044723738430564375,0.09564342625834943,-0.5888887874789018,0.6518804239964445,0.1421732520714616,0.27445042979258394,-0.053886845151241654,0.044723738430564375,0.0027452902386491157,0.025957145991798065,-0.12033089493503527,0.1135518129481093,0.01666972954659928,0.059636128545123256,-0.09028364401382172,0.09564342625834943,0.025957145991798065,0.020409566212665632,-0.19897162095868157,0.22025500806203097,0.05629080617202304,0.0927303220059928,0.5552322671658865,-0.5888887874789018,-0.12033089493503527,-0.19897162095868157,0.5484322517092269,-0.6070963760544418,-0.23524364014099214,-0.255595743023218,-0.614623768413272,0.6518804239964445,0.1135518129481093,0.22025500806203097,-0.6070963760544418,0.6720356227588271,0.19236325618862818,0.28293603966713504,-0.1405674222619584,0.1421732520714616,0.01666972954659928,0.05629080617202304,-0.23524364014099214,0.19236325618862818,0.02823947387641435,0.229264063085764,-0.2587648764901093,0.27445042979258394,0.059636128545123256,0.0927303220059928,-0.255595743023218,0.28293603966713504,0.229264063085764,0.1191198797080004
0.6144740789277533,-0.7843217752219441,-1.0,-0.28837265791840033,0.2823677993882835,-0.30867883727749196,-0.018538948304678206,-0.05713994053175714,0.3775783936741109,-0.48194540041248457,-1.0,-0.17719752336235714,0.2058447276377358,-0.22502534398245838,-0.015078316264765456,-0.041654733724868255,-0.48194540041248457,0.6151606470873019,1.0,0.22617695498403018,-0.2630528403188952,0.2875641098881886,0.01837514287203434,0.053231365917409804,-1.0,1.0,1.0,1.0,-0.8756623753013296,0.8160384984042908,0.03509871474948678,0.18843560667512857,-0.17719752336235714,0.22617695498403018,1.0,0.08315878983492274,-0.15313766019404929,0.16740703081052594,0.012535205395981458,0.03098893292938093,0.2058447276377358,-0.2630528403188952,-0.8756623753013296,-0.15313766019404929,0.07973157413138192,-0.08716096399977945,-0.009895286201196004,-0.01613447926512965,-0.22502534398245838,0.2875641098881886,0.8160384984042908,0.16740703081052594,-0.08716096399977945,0.09528262458298435,0.007990788229180167,0.017637890405447824,-0.015078316264765456,0.01837514287203434,0.03509871474948678,0.012535205395981458,-0.009895286201196004,0.007990788229180167,0.00034369260424353096,0.004187361335627449,-0.041654733724868255,0.053231365917409804,0.18843560667512857,0.03098893292938093,-0.01613447926512965,0.017637890405447824,0.004187361335627449,0.003264972803972742
0.6144740789277533,-0.7843217752219441,-1.0,-0.28837265791840033,0.2823677993882835,-0.30867883727749196,-0.018538948304678206,-0.05713994053175714,0.3775783936741109,-0.48194540041248457,-1.0,-0.17719752336235714,0.2058447276377358,-0.22502534398245838,-0.015078316264765456,-0.041654733724868255,-0.48194540041248457,0.6151606470873019,1.0,0.22617695498403018,-0.2630528403188952,0.2875641098881886,0.01837514287203434,0.053231365917409804,-1.0,1.0,1.0,1.0,-0.8756623753013296,0.8160384984042908,0.03509871474948678,0.18843560667512857,-0.17719752336235714,0.22617695498403018,1.0,0.08315878983492274,-0.15313766019404929,0.16740703081052594,0.012535205395981458,0.03098893292938093,0.2058447276377358,-0.2630528403188952,-0.8756623753013296,-0.15313766019404929,0.07973157413138192,-0.08716096399977945,-0.009895286201196004,-0.01613447926512965,-0.22502534398245838,0.2875641098881886,0.8160384984042908,0.16740703081052594,-0.08716096399977945,0.09528262458298435,0.007990788229180167,0.017637890405447824,-0.015078316264765456,0.01837514287203434,0.03509871474948678,0.012535205395981458,-0.009895286201196004,0.007990788229180167,0.00034369260424353096,0.004187361335627449,-0.041654733724868255,0.053231365917409804,0.18843560667512857,0.03098893292938093,-0.01613447926512965,0.017637890405447824,0.004187361335627449,0.003264972803972742
0.8780550876524198,-0.9177899233158963,-0.06041853240319823,-0.6343710910526692,0.16855770403877163,-0.1766019470212383,-0.0017330132990945246,-0.18142617273944373,0.7709807369522986,-0.8058701115636467,-0.08633529319526954,-0.5570127639584126,0.1755866050858788,-0.18396629513820853,-0.0020141316163842576,-0.18899169235074315,-0.8058701115636467,0.8423383433401984,0.07069996265945676,0.5822193950110505,-0.18374919531416192,0.19251843658598086,0.0020100022296921354,0.1977774521782331,-0.08633529319526954,0.07069996265945676,0.003650399057756315,0.13291055607381252,-0.03158204873496059,0.02820781531424697,0.0001982340197433233,0.03614875106322839,-0.5570127639584126,0.5822193950110505,0.13291055607381252,0.40242668116335395,-0.2010966093857479,0.21069373814396258,0.002577730794094063,0.21644924745381577,0.1755866050858788,-0.18374919531416192,-0.03158204873496059,-0.2010966093857479,0.02841169959082213,-0.02976761871867672,-0.0005521773646677998,-0.030580779129502213,-0.18396629513820853,0.19251843658598086,0.02820781531424697,0.21069373814396258,-0.02976761871867672,0.031188247691692268,0.00042736116531205963,0.032040215346397276,-0.0020141316163842576,0.0020100022296921354,0.0001982340197433233,0.002577730794094063,-0.0005521773646677998,0.00042736116531205963,3.0033350948384887e-06,0.001242846219684427,-0.18899169235074315,0.1977774521782331,0.03614875106322839,0.21644924745381577,-0.030580779129502213,0.032040215346397276,0.001242846219684427,0.03291545615488247
0.8780550876524198,-0.9177899233158963,-0.06041853240319823,-0.6343710910526692,0.16855770403877163,-0.1766019470212383,-0.0017330132990945246,-0.18142617273944373,0.7709807369522986,-0.8058701115636467,-0.08633529319526954,-0.5570127639584126,0.1755866050858788,-0.18396629513820853,-0.0020141316163842576,-0.18899169235074315,-0.8058701115636467,0.8423383433401984,0.07069996265945676,0.5822193950110505,-0.18374919531416192,0.19251843658598086,0.0020100022296921354,0.1977774521782331,-0.08633529319526954,0.07069996265945676,0.003650399057756315,0.13291055607381252,-0.03158204873496059,0.02820781531424697,0.0001982340197433233,0.03614875106322839,-0.5570127639584126,0.5822193950110505,0.13291055607381252,0.40242668116335395,-0.2010966093857479,0.21069373814396258,0.002577730794094063,0.21644924745381577,0.1755866050858788,-0.18374919531416192,-0.03158204873496059,-0.2010966093857479,0.02841169959082213,-0.02976761871867672,-0.0005521773646677998,-0.030580779129502213,-0.18396629513820853,0.19251843658598086,0.02820781531424697,0.21069373814396258,-0.02976761871867672,0.031188247691692268,0.00042736116531205963,0.032040215346397276,-0.0020141316163842576,0.0020100022296921354,0.0001982340197433233,0.002577730794094063,-0.0005521773646677998,0.00042736116531205963,3.0033350948384887e-06,0.001242846219684427,-0.18899169235074315,0.1977774521782331,0.03614875106322839,0.21644924745381577,-0.030580779129502213,0.032040215346397276,0.001242846219684427,0.03291545615488247
0.07071367447032485,-0.08545055532386721,-0.007577046229805467,-0.36357972364762436,0.7907008592003839,-0.8886987836433958,-0.2571799169590997,-0.4675473246420052,0.005000423757095074,-0.006042522752480429,-0.0008719664488956622,-0.025710058222028785,0.06633406728224953,-0.07455538238249798,-0.02407158260819124,-0.03922382950462774,-0.006042522752480429,0.0073017974051572876,0.0008255066077545468,0.031068089290187666,-0.08025288502308786,0.09019927128448586,0.0277717533669935,0.047454130409434817,-0.0008719664488956622,0.0008255066077545468,5.7411629568609216e-05,0.009553126132635906,-0.018579484851342767,0.01780157035818155,0.0036892926703603703,0.011682847276773012,-0.025710058222028785,0.031068089290187666,0.009553126132635906,0.1321902154476829,-0.5406604774242144,0.6076688839529766,0.21924464150457373,0.3196965790766879,0.06633406728224953,-0.08025288502308786,-0.018579484851342767,-0.5406604774242144,0.6252078487402255,-0.7026948917971694,-0.3843946722332271,-0.3696900713112744,-0.07455538238249798,0.09019927128448586,0.01780157035818155,0.6076688839529766,-0.7026948917971694,0.7897855280492516,0.3191459294488713,0.415508738705074,-0.02407158260819124,0.0277717533669935,0.0036892926703603703,0.21924464150457373,-0.3843946722332271,0.3191459294488713,0.06614150968708941,0.47531135457833323,-0.03922382950462774,0.047454130409434817,0.011682847276773012,0.3196965790766879,-0.3696900713112744,0.415508738705074,0.47531135457833323,0.21860050077989662
0.07071367447032485,-0.08545055532386721,-0.007577046229805467,-0.36357972364762436,0.7907008592003839,-0.8886987836433958,-0.2571799169590997,-0.4675473246420052,0.005000423757095074,-0.006042522752480429,-0.0008719664488956622,-0.025710058222028785,0.06633406728224953,-0.07455538238249798,-0.02407158260819124,-0.03922382950462774,-0.006042522752480429,0.0073017974051572876,0.0008255066077545468,0.031068089290187666,-0.08025288502308786,0.09019927128448586,0.0277717533669935,0.047454130409434817,-0.0008719664488956622,0.0008255066077545468,5.7411629568609216e-05,0.009553126132635906,-0.018579484851342767,0.01780157035818155,0.0036892926703603703,0.011682847276773012,-0.025710058222028785,0.031068089290187666,0.009553126132635906,0.1321902154476829,-0.5406604774242144,0.6076688839529766,0.21924464150457373,0.3196965790766879,0.06633406728224953,-0.08025288502308786,-0.018579484851342767,-0.5406604774242144,0.6252078487402255,-0.7026948917971694,-0.3843946722332271,-0.3696900713112744,-0.07455538238249798,0.09019927128448586,0.01780157035818155,0.6076688839529766,-0.7026948917971694,0.7897855280492516,0.3191459294488713,0.415508738705074,-0.02407158260819124,0.0277717533669935,0.0036892926703603703,0.21924464150457373,-0.3843946722332271,0.3191459294488713,0.06614150968708941,0.47531135457833323,-0.03922382950462774,0.047454130409434817,0.011682847276773012,0.3196965790766879,-0.3696900713112744,0.415508738705074,0.47531135457833323,0.21860050077989662
0.08970860855837239,-0.09193141683003428,-0.00020752901524320966,-0.32394258212584875,0.2199119715352314,-0.30181881934920163,-0.17965194472175663,-0.15331232264849978,0.008047634449479283,-0.008247039486622112,-3.0297680295064972e-05,-0.029060438295316165,0.023404749857426226,-0.03212191641872521,-0.021331933980276767,-0.016316694978446403,-0.008247039486622112,0.008451385400377508,2.4324756761026178e-05,0.02978050054640901,-0.024012997696654666,0.03295670791927897,0.020871191109670225,0.01674073687269637,-3.0297680295064972e-05,2.4324756761026178e-05,4.306829216781634e-08,0.00023312711249810325,-0.00014153023176852173,0.00016558802777030487,7.058572313489252e-05,0.00010492502337009579,-0.029060438295316165,0.02978050054640901,0.00023312711249810325,0.10493879651436228,-0.13397682120722562,0.18387687452679524,0.13645587641601867,0.09340236230409968,0.023404749857426226,-0.024012997696654666,-0.00014153023176852173,-0.13397682120722562,0.048361275224512425,-0.06637357160951877,-0.07468078803975098,-0.033715215134277096,-0.03212191641872521,0.03295670791927897,0.00016558802777030487,0.18387687452679524,-0.06637357160951877,0.09109459971334605,0.0757139511900992,0.046272544213454066,-0.021331933980276767,0.020871191109670225,7.058572313489252e-05,0.13645587641601867,-0.07468078803975098,0.0757139511900992,0.03227482124230911,0.10887409225752097,-0.016316694978446403,0.01674073687269637,0.00010492502337009579,0.09340236230409968,-0.033715215134277096,0.046272544213454066,0.10887409225752097,0.023504668275877702
0.08970860855837239,-0.09193141683003428,-0.00020752901524320966,-0.32394258212584875,0.2199119715352314,-0.30181881934920163,-0.17965194472175663,-0.15331232264849978,0.008047634449479283,-0.008247039486622112,-3.0297680295064972e-05,-0.029060438295316165,0.023404749857426226,-0.03212191641872521,-0.021331933980276767,-0.016316694978446403,-0.008247039486622112,0.008451385400377508,2.4324756761026178e-05,0.02978050054640901,-0.024012997696654666,0.03295670791927897,0.020871191109670225,0.01674073687269637,-3.0297680295064972e-05,2.4324756761026178e-05,4.306829216781634e-08,0.00023312711249810325,-0.00014153023176852173,0.00016558802777030487,7.058572313489252e-05,0.00010492502337009579,-0.029060438295316165,0.02978050054640901,0.00023312711249810325,0.10493879651436228,-0.13397682120722562,0.18387687452679524,0.13645587641601867,0.09340236230409968,0.023404749857426226,-0.024012997696654666,-0.00014153023176852173,-0.13397682120722562,0.048361275224512425,-0.06637357160951877,-0.07468078803975098,-0.033715215134277096,-0.03212191641872521,0.03295670791927897,0.00016558802777030487,0.18387687452679524,-0.06637357160951877,0.09109459971334605,0.0757139511900992,0.046272544213454066,-0.021331933980276767,0.020871191109670225,7.058572313489252e-05,0.13645587641601867,-0.07468078803975098,0.0757139511900992,0.03227482124230911,0.10887409225752097,-0.016316694978446403,0.01674073687269637,0.00010492502337009579,0.09340236230409968,-0.033715215134277096,0.046272544213454066,0.10887409225752097,0.023504668275877702
0.25666169848514725,-0.31441924834147256,-0.11616191443638353,-0.09958250355528209,0.9512978649984793,-0.9559797511799594,-0.000587587443568528,-0.8401030087175192,0.06587522746928064,-0.08069937831574565,-0.048520051993981586,-0.025559014501901914,0.2896667170615552,-0.2910923342627957,-0.0001996171074348794,-0.25580829042344994,-0.08069937831574565,0.09885946372761657,0.04656703788780934,0.031310655915813806,-0.3552705439258306,0.35701903544619784,0.00023347102514810144,0.31374384810721406,-0.048520051993981586,0.04656703788780934,0.013493590365525686,0.040113699893915736,-0.342690293520304,0.29357309183699276,0.00012922376424787243,0.32182478454047936,-0.025559014501901914,0.031310655915813806,0.040113699893915736,0.00991667501433777,-0.17816086810598147,0.17903770062832416,0.00013719801493534414,0.15733608456253542,0.2896667170615552,-0.3552705439258306,-0.342690293520304,-0.17816086810598147,0.9049676279506651,-0.9094214962792729,-0.0010566158614011294,-0.7991881985717749,-0.2910923342627957,0.35701903544619784,0.29357309183699276,0.17903770062832416,-0.9094214962792729,0.9138972846660969,0.000784366202545141,0.8031214652393092,-0.0001996171074348794,0.00023347102514810144,0.00012922376424787243,0.00013719801493534414,-0.0010566158614011294,0.000784366202545141,3.452590038393981e-07,0.0019512845586180843,-0.25580829042344994,0.31374384810721406,0.32182478454047936,0.15733608456253542,-0.7991881985717749,0.8031214652393092,0.0019512845586180843,0.7057730652562282
0.25666169848514725,-0.31441924834147256,-0.11616191443638353,-0.09958250355528209,0.9512978649984793,-0.9559797511799594,-0.000587587443568528,-0.8401030087175192,0.06587522746928064,-0.08069937831574565,-0.048520051993981586,-0.025559014501901914,0.2896667170615552,-0.2910923342627957,-0.0001996171074348794,-0.25580829042344994,-0.08069937831574565,0.09885946372761657,0.04656703788780934,0.031310655915813806,-0.3552705439258306,0.35701903544619784,0.00023347102514810144,0.31374384810721406,-0.048520051993981586,0.04656703788780934,0.013493590365525686,0.040113699893915736,-0.342690293520304,0.29357309183699276,0.00012922376424787243,0.32182478454047936,-0.025559014501901914,0.031310655915813806,0.040113699893915736,0.00991667501433777,-0.17816086810598147,0.17903770062832416,0.00013719801493534414,0.15733608456253542,0.2896667170615552,-0.3552705439258306,-0.342690293520304,-0.17816086810598147,0.9049676279506651,-0.9094214962792729,-0.0010566158614011294,-0.7991881985717749,-0.2910923342627957,0.35701903544619784,0.29357309183699276,0.17903770062832416,-0.9094214962792729,0.9138972846660969,0.000784366202545141,0.8031214652393092,-0.0001996171074348794,0.00023347102514810144,0.00012922376424787243,0.00013719801493534414,-0.0010566158614011294,0.000784366202545141,3.452590038393981e-07,0.0019512845586180843,-0.25580829042344994,0.31374384810721406,0.32182478454047936,0.15733608456253542,-0.7991881985717749,0.8031214652393092,0.0019512845586180843,0.7057730652562282
0.7652541493810061,-0.8391560171577459,-0.1963791797846061,-0.38896058251879506,0.5719871332204992,-0.6660367902439015,-0.23687180781770464,-0.12285392855960676,0.5856139131448473,-0.6421676241080038,-0.24456683745625915,-0.2976536997181612,0.5192935924975033,-0.6046790521211434,-0.23992928254905432,-0.11153617661807816,-0.6421676241080038,0.704182821132051,0.21010862577941633,0.3263986132578288,-0.5701150769091636,0.6638569188720799,0.2511929499436278,0.12245184001779384,-0.24456683745625915,0.21010862577941633,0.03856478225287465,0.26487864943561185,-0.34833989917715114,0.3457780758996746,0.08806735168395426,0.07956236363325384,-0.2976536997181612,0.3263986132578288,0.26487864943561185,0.15129033475336043,-0.41841246005687704,0.48721042084509175,0.2160285980706959,0.08986848040943772,0.5192935924975033,-0.5701150769091636,-0.34833989917715114,-0.41841246005687704,0.3271692805698051,-0.3809644742709922,-0.2561107048067916,-0.07027086640168549,-0.6046790521211434,0.6638569188720799,0.3457780758996746,0.48721042084509175,-0.3809644742709922,0.44360500595839897,0.22029734641295165,0.08182523624669408,-0.23992928254905432,0.2511929499436278,0.08806735168395426,0.2160285980706959,-0.2561107048067916,0.22029734641295165,0.056108253338827616,0.11503181823072421,-0.11153617661807816,0.12245184001779384,0.07956236363325384,0.08986848040943772,-0.07027086640168549,0.08182523624669408,0.11503181823072421,0.015093087762528963
0.7652541493810061,-0.8391560171577459,-0.1963791797846061,-0.38896058251879506,0.5719871332204992,-0.6660367902439015,-0.23687180781770464,-0.12285392855960676,0.5856139131448473,-0.6421676241080038,-0.24456683745625915,-0.2976536997181612,0.5192935924975033,-0.6046790521211434,-0.23992928254905432,-0.11153617661807816,-0.6421676241080038,0.704182821132051,0.21010862577941633,0.3263986132578288,-0.5701150769091636,0.6638569188720799,0.2511929499436278,0.12245184001779384,-0.24456683745625915,0.21010862577941633,0.03856478225287465,0.26487864943561185,-0.34833989917715114,0.3457780758996746,0.08806735168395426,0.07956236363325384,-0.2976536997181612,0.3263986132578288,0.26487864943561185,0.15129033475336043,-0.41841246005687704,0.48721042084509175,0.2160285980706959,0.08986848040943772,0.5192935924975033,-0.5701150769091636,-0.34833989917715114,-0.41841246005687704,0.3271692805698051,-0.3809644742709922,-0.2561107048067916,-0.07027086640168549,-0.6046790521211434,0.6638569188720799,0.3457780758996746,0.48721042084509175,-0.3809644742709922,0.44360500595839897,0.22029734641295165,0.08182523624669408,-0.23992928254905432,0.2511929499436278,0.08806735168395426,0.2160285980706959,-0.2561107048067916,0.22029734641295165,0.056108253338827616,0.11503181823072421,-0.11153617661807816,0.12245184001779384,0.07956236363325384,0.08986848040943772,-0.07027086640168549,0.08182523624669408,0.11503181823072421,0.015093087762528963
0.2846624370553515,-0.3825298062035009,-0.33072379222498016,-0.11248599301211186,0.9750189137139547,-0.9859485644215411,-0.0032003219247174228,-0.9168776252977958,0.08103270307029195,-0.10889186688019986,-0.15321173653285966,-0.032020536905419,0.3292791369439233,-0.33297025093307037,-0.001205835367034581,-0.3096439144870007,-0.10889186688019986,0.14632905263408794,0.16130077239141904,0.0430292451075315,-0.4430083117027815,0.44797429342822886,0.001547071215435481,0.4165913123408354,-0.15321173653285966,0.16130077239141904,0.10937822674367183,0.12900596904608444,-1.0,0.8620322036961214,0.0020038500796550093,1.0,-0.032020536905419,0.0430292451075315,0.12900596904608444,0.012653098623920878,-0.20626438421411716,0.20857654210271487,0.0008440815238906648,0.19396464634862923,0.3292791369439233,-0.4430083117027815,-1.0,-0.20626438421411716,0.9506618820999403,-0.9613184982601245,-0.005898407923923194,-0.8939730262264873,-0.33297025093307037,0.44797429342822886,0.8620322036961214,0.20857654210271487,-0.9613184982601245,0.9720945716848981,0.0044060112108468795,0.9039941784125937,-0.001205835367034581,0.001547071215435481,0.0020038500796550093,0.0008440815238906648,-0.005898407923923194,0.0044060112108468795,1.024206042182703e-05,0.011599001447643914,-0.3096439144870007,0.4165913123408354,1.0,0.19396464634862923,-0.8939730262264873,0.9039941784125937,0.011599001447643914,0.8406645797717254
0.2846624370553515,-0.3825298062035009,-0.33072379222498016,-0.11248599301211186,0.9750189137139547,-0.9859485644215411,-0.0032003219247174228,-0.9168776252977958,0.08103270307029195,-0.10889186688019986,-0.15321173653285966,-0.032020536905419,0.3292791369439233,-0.33297025093307037,-0.001205835367034581,-0.3096439144870007,-0.10889186688019986,0.14632905263408794,0.16130077239141904,0.0430292451075315,-0.4430083117027815,0.44797429342822886,0.001547071215435481,0.4165913123408354,-0.15321173653285966,0.16130077239141904,0.10937822674367183,0.12900596904608444,-1.0,0.8620322036961214,0.0020038500796550093,1.0,-0.032020536905419,0.0430292451075315,0.12900596904608444,0.012653098623920878,-0.20626438421411716,0.20857654210271487,0.0008440815238906648,0.19396464634862923,0.3292791369439233,-0.4430083117027815,-1.0,-0.20626438421411716,0.9506618820999403,-0.9613184982601245,-0.005898407923923194,-0.8939730262264873,-0.33297025093307037,0.44797429342822886,0.8620322036961214,0.20857654210271487,-0.9613184982601245,0.9720945716848981,0.0044060112108468795,0.9039941784125937,-0.001205835367034581,0.001547071215435481,0.0020038500796550093,0.0008440815238906648,-0.005898407923923194,0.0044060112108468795,1.024206042182703e-05,0.011599001447643914,-0.3096439144870007,0.4165913123408354,1.0,0.19396464634862923,-0.8939730262264873,0.9039941784125937,0.011599001447643914,0.8406645797717254
